,Unnamed: 0,County,COVID Hospitalizations,Date
0,0,WASHINGTON,7,2020-08-12
1,1,WALTON,10,2020-08-12
2,2,VOLUSIA,132,2020-08-12
3,3,UNION,0,2020-08-12
4,4,TAYLOR,1,2020-08-12
5,5,SUWANNEE,0,2020-08-12
6,6,SUMTER,23,2020-08-12
7,7,ST. LUCIE,126,2020-08-12
8,8,ST. JOHNS,25,2020-08-12
9,9,SEMINOLE,103,2020-08-12
10,10,SARASOTA,78,2020-08-12
11,11,SANTA ROSA,15,2020-08-12
12,12,PUTNAM,9,2020-08-12
13,13,POLK,223,2020-08-12
14,14,PINELLAS,255,2020-08-12
15,15,PASCO,75,2020-08-12
16,16,PALM BEACH,442,2020-08-12
17,17,OSCEOLA,125,2020-08-12
18,18,ORANGE,339,2020-08-12
19,19,OKEECHOBEE,13,2020-08-12
20,20,OKALOOSA,41,2020-08-12
21,21,NASSAU,5,2020-08-12
22,22,MONROE,7,2020-08-12
23,23,MIAMI-DADE,1442,2020-08-12
24,24,MARTIN,22,2020-08-12
25,25,MARION,106,2020-08-12
26,26,MANATEE,75,2020-08-12
27,27,MADISON,0,2020-08-12
28,28,LEON,87,2020-08-12
29,29,LEE,182,2020-08-12
30,30,LAKE,86,2020-08-12
31,31,JACKSON,17,2020-08-12
32,32,INDIAN RIVER,27,2020-08-12
33,33,HOLMES,1,2020-08-12
34,34,HILLSBOROUGH,316,2020-08-12
35,35,HIGHLANDS,51,2020-08-12
36,36,HERNANDO,52,2020-08-12
37,37,HENDRY,8,2020-08-12
38,38,HARDEE,0,2020-08-12
39,39,GULF,5,2020-08-12
40,40,GADSDEN,126,2020-08-12
41,41,FRANKLIN,0,2020-08-12
42,42,FLAGLER,15,2020-08-12
43,43,ESCAMBIA,174,2020-08-12
44,44,DUVAL,385,2020-08-12
45,45,DESOTO,1,2020-08-12
46,46,COLUMBIA,30,2020-08-12
47,47,COLLIER,123,2020-08-12
48,48,CLAY,60,2020-08-12
49,49,CITRUS,26,2020-08-12
50,50,CHARLOTTE,36,2020-08-12
51,51,CALHOUN,1,2020-08-12
52,52,BROWARD,920,2020-08-12
53,53,BREVARD,110,2020-08-12
54,54,BRADFORD,0,2020-08-12
55,55,BAY,81,2020-08-12
56,56,BAKER,19,2020-08-12
57,57,ALACHUA,117,2020-08-12
