,County,COVID Hospitalizations,Date
0,WASHINGTON,1,2020-11-25
1,WALTON,10,2020-11-25
2,VOLUSIA,73,2020-11-25
3,UNION,1,2020-11-25
4,TAYLOR,0,2020-11-25
5,SUWANNEE,0,2020-11-25
6,SUMTER,18,2020-11-25
7,ST. LUCIE,60,2020-11-25
8,ST. JOHNS,12,2020-11-25
9,SEMINOLE,47,2020-11-25
10,SARASOTA,73,2020-11-25
11,SANTA ROSA,15,2020-11-25
12,PUTNAM,8,2020-11-25
13,POLK,108,2020-11-25
14,PINELLAS,180,2020-11-25
15,PASCO,109,2020-11-25
16,PALM BEACH,259,2020-11-25
17,OSCEOLA,89,2020-11-25
18,ORANGE,173,2020-11-25
19,OKEECHOBEE,9,2020-11-25
20,OKALOOSA,45,2020-11-25
21,NASSAU,4,2020-11-25
22,MONROE,7,2020-11-25
23,MIAMI-DADE,548,2020-11-25
24,MARTIN,20,2020-11-25
25,MARION,59,2020-11-25
26,MANATEE,47,2020-11-25
27,MADISON,0,2020-11-25
28,LEON,33,2020-11-25
29,LEE,112,2020-11-25
30,LAKE,47,2020-11-25
31,JACKSON,25,2020-11-25
32,INDIAN RIVER,11,2020-11-25
33,HOLMES,2,2020-11-25
34,HILLSBOROUGH,242,2020-11-25
35,HIGHLANDS,61,2020-11-25
36,HERNANDO,56,2020-11-25
37,HENDRY,3,2020-11-25
38,HARDEE,0,2020-11-25
39,GULF,0,2020-11-25
40,GADSDEN,0,2020-11-25
41,FRANKLIN,0,2020-11-25
42,FLAGLER,7,2020-11-25
43,ESCAMBIA,70,2020-11-25
44,DUVAL,196,2020-11-25
45,DESOTO,19,2020-11-25
46,COLUMBIA,22,2020-11-25
47,COLLIER,79,2020-11-25
48,CLAY,39,2020-11-25
49,CITRUS,66,2020-11-25
50,CHARLOTTE,40,2020-11-25
51,CALHOUN,0,2020-11-25
52,BROWARD,396,2020-11-25
53,BREVARD,80,2020-11-25
54,BRADFORD,0,2020-11-25
55,BAY,37,2020-11-25
56,BAKER,0,2020-11-25
57,ALACHUA,106,2020-11-25
